group,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10
1,sleep,sleepiness,rem,obstructive,central,frequent,typically,usually,wake,sleep.wake
2,episode,major.depressive,major.depressive.episode,depressive,depressive.episode,mood,features,psychotic,medical,condition
3,intense,sexual,males,recurrent,known,environment,behaviors,report,individual,multiple
4,individuals,personality,individuals.disorder,feelings,adulthood,fear,relationships,interpersonal,events,excessive
5,years,physiological,child,repeated,common,treatment,lead,age,primary,year
6,cognitive,decline,mild,behavioral,major.mild,ncd,function.,deficits,performance,disturbance
7,meet.criteria,meet,presentation,distress.impairment,clinically.significant.distress.impairment,occupational.important.areas.functioning,occupational.important,occupational.important.areas,social.occupational.important.areas.functioning,distress.impairment.social.occupational.important
8,developmental,intellectual,intellectual.disability,disability,skills,academic,children,young,childhood,appropriate
9,use,intoxication,substance,induced,drug,withdrawal,drugs,cocaine,substances,substance.medication
10,sedative.hypnotic,hypnotic,anxiolytic,hypnotic.anxiolytic,sedative.hypnotic.anxiolytic,sedative,withdrawal.1,alcohol,alcohol.use,rate
11,information,make,criteria.met,presentations,category,characteristic,clinician,met,predominate,cause
12,factors,men,relationship,activity,problems,approximately,poor,sexual.1,different,moderate
