group,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10
1,personality,relationships,individuals.disorder,interpersonal,feelings,pattern,distinguished,adulthood,lack,individuals
2,men,factors,relationship,activity,approximately,problems,sexual,poor,moderate,female
3,delusions,hallucinations,psychotic,delusional,remission,periods,negative,prominent,features,present
4,intoxication,use,hours,signs,withdrawal,changes,drug,high,drugs,levels
5,obsessive.compulsive,obsessive,compulsive,compulsive.related,obsessive.compulsive.related,repetitive,related,skin,dysmorphic,substance.medication.induced
6,cognitive,decline,behavioral,deficits,performance,mild,major.mild,function.,disturbance,living
7,substance.medication,induced,medication.induced,substance.medication.induced.1,medication,substance,substance.use,cocaine,comorbid,medications
8,intense,sexual.1,males,recurrent,known,environment,behaviors,report,individual,multiple
9,presentation,does,meet,meet.criteria,followed,using,specific,criteria,clinician,category
10,years,physiological,child,repeated,common,treatment,lead,age,primary,year
11,nervosa,binge,binge.eating,eating,weight,food,loss,low,additional,avoidant
12,medical,condition,medical.condition,conditions,medical.conditions,given,neurological,course,association,mental
13,sedative.hypnotic,hypnotic,anxiolytic,hypnotic.anxiolytic,sedative.hypnotic.anxiolytic,sedative,withdrawal.1,alcohol,alcohol.use,rate
14,event,traumatic.event,traumatic,stress,acute,events,response,exposure,experience,month
15,information,criteria.met,make,presentations,met,clinician.1,category.1,specify,used,characteristic
16,distress.impairment.social,clinically.significant.distress.impairment.social,distress.impairment.social.occupational.important,distress.impairment.social.occupational.important.areas,distress.impairment.social.occupational,cause.clinically.significant.distress.impairment.social,significant.distress.impairment.social.occupational.important,clinically.significant.distress.impairment.social.occupational,cause.clinically.significant.distress.impairment,clinically.significant.distress.impairment
17,intellectual,intellectual.disability,disability,developmental,period,difficult,result,skills,occurring,appears
18,major.depressive.episode,major.depressive,depressive.episode,episode,depressive,major,day,mood,hypomanic,suicide
19,child.1,children,young,signs.1,care,adults,emotional,age.1,childhood,adolescence
20,adults.1,sleep,home,family,adolescents,typically,sleepiness,frequently,school,fear
